CONSTITUENCY,ASSETS,LIABILITIES,NAME,WINNER,GENDER,AGE,VOTES RECEIVED,ELECTION RESULT,HAS CASES
TURA,1025030,,RIKMAN GARREY MOMIN,0,MALE,55,31707,3,0
UDAIPUR,48196946,15602872,ARJUNLAL MEENA,1,MALE,54,871548,1,0
UDAIPUR,32075616,4127647,RAGHUVIR SINGH MEENA,0,MALE,59,433634,2,0
UDHAMPUR,70827203,,DR. JITENDRA SINGH,1,MALE,62,724311,1,0
UDHAMPUR,360230337,4800765,VIKRAMADITYA SINGH,0,MALE,54,367059,2,0
UDUPI CHIKMAGALUR,104872668,49936840,SHOBHA KARANDLAJE,1,FEMALE,52,718916,1,1
UDUPI CHIKMAGALUR,990739778,21813972,PRAMOD MADHWARAJ,0,MALE,50,369317,2,1
UJIARPUR,187007570,357561,Nityanand Rai,1,MALE,53,543906,1,1
UJIARPUR,24441520,1358960,Upendra Kushwaha,0,MALE,56,266628,2,1
UJJAIN,26417937,3203766,ANIL FIROJIYA,1,MALE,47,791663,1,0
UJJAIN,2181243,1785483,BABULAL MALVIYA,0,MALE,56,426026,2,1
ULUBERIA,28351569,5322615,SAJDA AHMED,1,FEMALE,57,694945,1,0
ULUBERIA,246933,,JOY BANERJEE,0,MALE,56,479586,2,1
ULUBERIA,12578736,2876353,MAKSUDA KHATUN,0,FEMALE,58,81314,3,0
UNNAO,40886941,699025,Swami Sakshi Ji Maharaj,1,MALE,63,703507,1,1
UNNAO,458367272,2074764,Arun Shanker Shukla,0,MALE,61,302551,2,1
UNNAO,816046184,96675048,Annu Tandon,0,FEMALE,61,185634,3,1
UTTARA KANNADA,84755455,41016655,ANANTKUMAR HEGDE,1,MALE,51,786042,1,1
UTTARA KANNADA,721916901,23800806,ANAND ASNOTIKAR,0,MALE,39,306393,2,1
VADAKARA,114379340,,K. MURALEEDHARAN,1,MALE,62,526755,1,1
VADAKARA,9072440,620213,P.JAYARAJAN,0,MALE,66,442092,2,1
VADAKARA,3530403,1754758,ADV.V.K.SAJEEVAN,0,MALE,43,80128,3,1
VADODARA,29426428,,RANJANBEN BHATT,1,FEMALE,56,883719,1,0
VADODARA,31042006,10938685,PRASHANT PATEL (TIKO),0,MALE,44,294542,2,1
VAISHALI,337284632,112089220,Veena Devi (W/o Dinesh Prasad Singh),1,FEMALE,48,568215,1,1
VAISHALI,7857367,984703,Raghuvansh Prasad Singh,0,MALE,72,333631,2,1
VALMIKI NAGAR,17934888,2915945,BAIDYANATH PRASAD MAHTO,1,MALE,62,602660,1,1
VALMIKI NAGAR,21470456,1728000,SHASHWAT KEDAR,0,MALE,32,248044,2,0
VALMIKI NAGAR,569431975,2409792,DEEPAK YADAV,0,MALE,42,62963,3,1
VALSAD,68239480,,Dr.K.C.PATEL,1,MALE,69,771980,1,0
VALSAD,6611455,,CHAUDHARI JITUBHAI HARJIBHAI,0,MALE,54,418183,2,1
VARANASI,25136119,,NARENDRA MODI,1,MALE,68,674664,1,0
VARANASI,12600000,788131,SHALINI YADAV,0,FEMALE,47,195159,2,0
VARANASI,13970015,,AJAY RAI,0,MALE,49,152548,3,1
VIDISHA,30032282,3332012,Ramakant Bhargava,1,MALE,65,853022,1,0
VIDISHA,130523815,1677179,Shailendra Rameshchandra Patel,0,MALE,43,349938,2,0
VIJAYAWADA,808152415,512332955,KESINENI SRINIVAS (NANI),1,MALE,53,575498,1,0
VIJAYAWADA,3477616326,209577562,POTLURI.V.PRASAD ( P V P ),0,MALE,48,566772,2,1
VIJAYAWADA,33169811,137447,Muttamsetty Prasad babu,0,MALE,66,81650,3,0
VILUPPURAM,6509860,1369031,RAVIKUMAR D,1,MALE,58,559585,1,0
VILUPPURAM,1925000,,VADIVEL RAVANAN S,0,MALE,66,431517,2,0
VILUPPURAM,2207000,575000,GANAPATHY N,0,MALE,55,58019,3,0
VIRUDHUNAGAR,49705799,3600203,"MANICKAM TAGORE, B.",1,MALE,44,470883,1,1
VIRUDHUNAGAR,12671316,338783,"ALAGARSAMY, R.",0,MALE,47,316329,2,1
VIRUDHUNAGAR,779539,100000,"PARAMASIVA IYYAPPAN, S.",0,MALE,45,107615,3,0
VIRUDHUNAGAR,15835879,,"ARULMOZHITHEVAN, K.",0,MALE,36,53040,4,0
VISAKHAPATNAM,2023905124,160030959,M V V SATYANARAYANA,1,MALE,52,436906,1,1
VISAKHAPATNAM,2325373550,9591144,BHARAT MATHUKUMILLI,0,MALE,29,432492,2,0
VISAKHAPATNAM,86465496,,V.V. LAKSHMI NARAYANA,0,MALE,53,288874,3,0
VIZIANAGARAM,21035766,11130148,Bellana Chandra Sekhar,1,MALE,57,578418,1,1
VIZIANAGARAM,183534582,,Ashok Gajapathi Raju Pusapati,0,MALE,67,530382,2,0
