CONSTITUENCY,ASSETS,LIABILITIES,NAME,WINNER,GENDER,AGE,VOTES RECEIVED,ELECTION RESULT,HAS CASES
BANGALORE RURAL,293535096,,ASHWATHNARAYANGOWDA,0,MALE,59,671388,2,1
BANGALORE SOUTH,1346593,,TEJASVI SURYA,1,MALE,28,739229,1,0
BANGALORE SOUTH,150801799,34400000,B.K.HARIPRASAD,0,MALE,64,408037,2,0
BANGAON,5265388,,SHANTANU THAKUR,1,MALE,37,687622,1,1
BANGAON,22042316,,MAMATA THAKUR,0,FEMALE,51,576028,2,1
BANGAON,5556977,524879,ALAKESH DAS,0,MALE,55,90122,3,1
BANKA,19816050,405701,GIRIDHARI YADAV,1,MALE,58,477788,1,1
BANKA,68739932,618721,JAI PRAKASH NARAYAN YADAV,0,MALE,65,277256,2,1
BANKA,6940000,2250000,PUTUL KUMARI,0,FEMALE,61,103729,3,1
BANKA,6940000,2250000,MANOJ KUMAR SAH,0,MALE,44,44398,4,0
BANKURA,19799440,3261495,DR. SUBHAS SARKAR,1,MALE,65,675319,1,1
BANKURA,12235759,,SUBRATA MUKHERJEE,0,MALE,72,500986,2,1
BANKURA,7521446,,AMIYA PATRA,0,MALE,67,100282,3,1
BANSGAON,171706883,6049264,Kamlesh Paswan,1,MALE,42,546673,1,1
BANSGAON,8702160,,Sadal Prasad,0,MALE,62,393205,2,0
BANSWARA,58711904,1746729,KANAKMAL KATARA,1,MALE,62,711709,1,0
BANSWARA,34354639,6449772,TARACHAND BHAGORA,0,MALE,65,406245,2,0
BANSWARA,1229683,,KANTILAL ROAT,0,MALE,43,250761,3,0
BAPATLA,4158610,269000,NANDIGAM SURESH,1,MALE,42,598257,1,0
BAPATLA,42520353,598794,MALYADRI SRIRAM,0,MALE,65,582192,2,0
BAPATLA,34436000,1200000,K. DEVANAND,0,MALE,64,42580,3,0
BARABANKI,18050127,3171774,Upendra Singh Rawat,1,MALE,51,535917,1,1
BARABANKI,10294367,127553,Ram Sagar Rawat,0,MALE,68,425777,2,1
BARABANKI,12572577,27052,Tanuj Punia,0,MALE,34,159611,3,0
BARAMATI,1408888704,5500000,Supriya Sule,1,FEMALE,49,686714,1,0
BARAMATI,47572790,2250279,Kanchan Rahul Kool,0,FEMALE,34,530940,2,0
BARAMATI,4980257,3700190,Padalkar Navanath,0,MALE,43,44134,3,1
BARAMULLA,597434000,104935,MOHAMMAD AKBAR LONE,1,MALE,71,133426,1,0
BARAMULLA,176868487,848606,RAJA AIJAZ ALI,0,MALE,67,103193,2,0
BARAMULLA,8000000,6000000,ENGINEER RASHID,0,MALE,54,102168,3,0
BARAMULLA,16556983,473600,ABDUL QAYOOM WANI,0,MALE,59,53530,4,0
BARAMULLA,12777435,,HAJI FAROOQ AHMAD MIR,0,MALE,55,34532,5,0
BARASAT,40531018,1496059,Dr. Kakoli Ghoshdastidar,1,FEMALE,60,648444,1,1
BARASAT,4949682,3370182,Mrinal Kanti Debnath,0,MALE,68,538275,2,0
BARASAT,11890602,,Haripada Biswas,0,MALE,61,124068,3,0
BARASAT,33601000,,Subrata Dutta,0,FEMALE,57,37277,4,0
BARDHAMAN DURGAPUR,26521750,744076,S.S AHLUWALIA,1,MALE,67,598376,1,0
BARDHAMAN DURGAPUR,136680993,,DR. MAMTAZ SANGHAMITA,0,FEMALE,73,595937,2,0
BARDHAMAN DURGAPUR,4267888,,ABHAS RAY CHAUDHURI,0,MALE,50,161329,3,1
BARDHAMAN DURGAPUR,16662068,89517,RANAJIT MUKHERJEE,0,MALE,39,38516,4,0
BARDHAMAN PURBA,20371283,148598,SUNIL KUMAR MONDAL,1,MALE,61,640834,1,0
BARDHAMAN PURBA,30401786,,PARESH CHANDRA DAS,0,MALE,61,551523,2,1
BARDHAMAN PURBA,5892873,2811235,ISWAR CHANDRA DAS,0,MALE,58,175920,3,1
BARDHAMAN PURBA,2437669,513425,SIDDHARTHA MAJUMDAR,0,MALE,37,38472,4,0
BARDOLI,28350217,3676869,PARBHUBHAI NAGARBHAI VASAVA,1,MALE,49,742273,1,0
BARDOLI,69345867,,CHAUDHARI DR. TUSHARBHAI AMARSINHBHAI,0,MALE,53,526826,2,0
BAREILLY,126356142,13055209,SANTOSH KUMAR GANGWAR,1,MALE,70,565270,1,0
BAREILLY,31857876,,BHAGWAT SARAN GANGWAR,0,MALE,63,397988,2,1
BAREILLY,1477686028,46548771,PRAVEEN SINGH ARON,0,MALE,61,74206,3,1
BARGARH,11673429,,Suresh Pujari,1,MALE,59,581245,1,0
BARGARH,90051634,3227600,Prasanna Acharya,0,MALE,69,517306,2,0
BARGARH,51024740,13451459,Pradeep Kumar Debta,0,MALE,51,109417,3,1
BARMER,2402250,,KAILASH CHOUDHARY,1,MALE,45,846526,1,1
BARMER,45063664,,MANVENDRA SINGH,0,MALE,55,522718,2,0
BARPETA,7398753,2703693,Abdul Khaleque,1,MALE,44,645173,1,0
BARPETA,23701000,1032000,Kumar Deepak Das,0,MALE,66,504866,2,1
BARPETA,3389683,430436,Rafiqul Islam,0,MALE,44,248667,3,1
BARRACKPORE,8055691,1100000,ARJUN SINGH,1,MALE,57,472994,1,1
BARRACKPORE,66207289,15925213,DINESH TRIVEDI,0,MALE,68,458137,2,0
BARRACKPORE,57140,,GARGI CHATTERJEE,0,FEMALE,47,117456,3,0
BASIRHAT,29088391,16881608,Nusrat Jahan Ruhi,1,FEMALE,28,782078,1,0
BASIRHAT,5399604,,Sayantan Basu,0,MALE,42,431709,2,1
BASIRHAT,2294651,,Quazi Abdur Rahim,0,MALE,51,104183,3,1
BASIRHAT,6037297,,Pallab Sengupta,0,MALE,70,68316,4,0
BASTAR,7721293,1801236,DEEPAK BAIJ,1,MALE,38,402527,1,1
BASTAR,16073844,141005,BAIDU RAM KASHYAP,0,MALE,46,363545,2,1
BASTAR,1058000,,RAMU RAM MOURYA,0,MALE,42,38395,3,0
BASTAR,547094,,AAYTU RAM MANDAVI,0,MALE,55,30449,4,0
BASTI,8662344,322490,HARISH CHANDRA ALIAS HARISH DWIVEDI,1,MALE,45,471162,1,1
BASTI,66059943,1166159,RAM PRASAD CHAUDHARY,0,MALE,65,440808,2,1
BASTI,52812489,,RAJ KISHOR SINGH,0,MALE,50,86920,3,0
BATHINDA,2179919870,954852600,Harsimrat Kaur Badal,1,FEMALE,52,492824,1,0
BATHINDA,92906438,10422457,Amrinder Singh Raja Warring,0,MALE,41,471052,2,0
BATHINDA,10604926,345000,Prof. Baljinder Kaur,0,FEMALE,33,134398,3,0
BATHINDA,598746355,13836396,Sukhpal Singh Khaira,0,MALE,54,38199,4,1
BEED,167477926,98833794,Pritam Gopinathrao Munde,1,FEMALE,36,678175,1,1
BEED,160776182,8488691,Bajrang Manohar Sonwane,0,MALE,48,509807,2,1
BEED,4654000,1622000,Pro. Vishnu Jadhav,0,MALE,62,92139,3,1
BEGUSARAI,83024577,12236000,Giriraj Singh,1,MALE,66,692193,1,1
BEGUSARAI,557848,,Kanhaiya Kumar,0,MALE,32,269976,2,1
BEGUSARAI,15483136,1446000,Mo. Tanweer Hassan,0,MALE,59,198233,3,1
BELGAUM,366164525,198479638,ANGADI SURESH CHANNABASAPPA,1,MALE,63,761991,1,0
BELGAUM,315866105,225214094,Dr.SADHUNAVAR,0,MALE,69,370687,2,0
BELLARY,40107878,250000,Y. DEVENDRAPPA,1,MALE,67,616388,1,0
BELLARY,108217325,22231164,V. S. UGRAPPA,0,MALE,65,560681,2,0
BERHAMPUR,11716989,,CHANDRA SEKHAR SAHU,1,MALE,68,443843,1,0
BERHAMPUR,31044317,1650465,BHRUGU BAXIPATRA,0,MALE,44,348999,2,1
BERHAMPUR,360000000,8000,V.CHANDRASEKHAR NAIDU,0,MALE,52,142632,3,1
BETUL,15413532,875803,DURGA DAS (D.D.) UIKEY,1,MALE,55,811248,1,0
BETUL,113554,,RAMU TEKAM (ADVOCATE),0,MALE,31,451007,2,0
BHADOHI,94089148,21696413,RAMESH CHAND,1,MALE,44,510029,1,1
BHADOHI,124899017,54880849,RANGNATH MISHRA,0,MALE,59,466414,2,1
BHADRAK,39417891,8958149,MANJULATA MANDAL,1,FEMALE,42,513045,1,0
BHADRAK,47223493,12150231,AVIMANYU SETHI,0,MALE,49,484254,2,0
BHADRAK,23838000,2384493,MADHUMITA SETHI,0,FEMALE,42,207710,3,0
BHAGALPUR,6801126,5364747,AJAY KUMAR MANDAL,1,MALE,41,618254,1,0
BHAGALPUR,30364808,2180647,SHAILESH KUMAR ALIAS VULO MANDAL,0,MALE,43,340624,2,0
BHANDARA - GONDIYA,627543615,19861338,Sunil Baburao Mendhe,1,MALE,50,650243,1,1
BHANDARA - GONDIYA,57462818,2050134,Panchabudhe Nana Jairam,0,MALE,64,452849,2,0
BHANDARA - GONDIYA,36343297,3616000,Dr. Vijaya Rajesh Nandurkar,0,FEMALE,37,52659,3,0
BHANDARA - GONDIYA,5995146,60000,K. N. Nanhe,0,MALE,68,45842,4,0
BHARATPUR,3117190,,RANJEETA KOLI,1,FEMALE,39,707992,1,0
BHARATPUR,133045865,28346352,ABHIJEET KUMAR JATAV,0,MALE,59,389593,2,0
BHARUCH,6835957,,Mansukhbhai Dhanjibhai Vasava,1,MALE,61,637795,1,0
BHARUCH,3343699,,Sherkhan Abdulsakur Pathan,0,MALE,37,303581,2,1
BHARUCH,20146320,4595420,Chhotubhai Amarsinh Vasava,0,MALE,73,144083,3,1
BHAVNAGAR,17753161,3689036,DR.BHARATIBEN DHIRUBHAI SHIYAL,1,FEMALE,55,661273,1,0
BHAVNAGAR,75961835,5595198,PATEL MANHARBHAI NAGJIBHAI (VASANI),0,MALE,50,331754,2,0
BHILWARA,232703276,1827380,SUBHASH CHANDRA BAHERIA,1,MALE,62,938160,1,0
BHILWARA,74900711,24650224,RAM PAL SHARMA,0,MALE,52,326160,2,1
BHIND,51108660,13400000,SANDHYA RAY,1,FEMALE,45,527694,1,0
BHIND,746723,,DEVASHISH,0,MALE,28,327809,2,0
BHIND,12571690,540000,BABU RAM JAMOR,0,MALE,67,66613,3,0
BHIWANDI,418850781,5645459,KAPIL MORESHWAR PATIL,1,MALE,58,523583,1,0
BHIWANDI,324522111,964774,TAWARE SURESH KASHINATH,0,MALE,62,367254,2,1
BHIWANDI,50883853,,PROF. (DR.) ARUN SAVANT,0,MALE,69,51455,3,0
BHIWANI-MAHENDRAGARH,60642205,240000,Dharambir Singh S/o Bhale Ram,1,MALE,64,736699,1,0
BHIWANI-MAHENDRAGARH,1016118000,151084000,Shruti Choudhry,0,FEMALE,43,292236,2,0
BHIWANI-MAHENDRAGARH,91521178,45967727,Swati Yadav,0,FEMALE,30,84956,3,0
BHONGIR,162543845,24069129,Komati Reddy Venkat Reddy,1,MALE,55,532795,1,1
BHONGIR,237458144,42963534,Dr. Boora Narsaiah Goud,0,MALE,60,527576,2,0
BHONGIR,323073107,49080220,P.V. Shyam Sunder Rao,0,MALE,46,65457,3,1
BHOPAL,444224,,SADHVI PRAGYA SINGH THAKUR,1,FEMALE,49,866482,1,1
BHOPAL,380727853,13972396,DIGVIJAYA SINGH,0,MALE,71,501660,2,1
BHUBANESWAR,31677600,4329959,APARAJITA SARANGI,1,FEMALE,49,486991,1,0
BHUBANESWAR,92700106,270000,Arup Mohan Patnaik,0,MALE,63,463152,2,0
BIDAR,51836416,10239000,BHAGWANTH KHUBA,1,MALE,50,585471,1,1
BIDAR,123313691,7332800,ESHWAR B. KHANDRE,0,MALE,57,468637,2,0
BIJAPUR,504122985,1600000,JIGAJINAGI RAMESH CHANDAPPA,1,MALE,66,635867,1,0
BIJAPUR,49482018,14184713,DR. SUNITA DEVANAND CHAVAN,0,FEMALE,42,377829,2,0
BIJNOR,2499628021,1016148176,MALOOK NAGAR,1,MALE,53,561045,1,1
BIJNOR,49867061,,RAJA BHARATENDRA SINGH,0,MALE,55,491104,2,1
BIKANER,23524459,1060314,ARJUN RAM MEGHWAL,1,MALE,65,657743,1,0
BIKANER,39962659,4966129,MADAN GOPAL MEGHWAL,0,MALE,55,393662,2,0
BILASPUR,13544588,50000,ARUN SAO,1,MALE,51,634559,1,0
BILASPUR,158233341,11386394,ATAL SHRIVASTAV,0,MALE,51,492796,2,1
BIRBHUM,48652722,18604443,SATABDI ROY,1,FEMALE,49,654077,1,0
BIRBHUM,6559932,100000,DUDH KUMAR MONDAL,0,MALE,63,565153,2,1
BIRBHUM,11877651,1595184,KARIM REZAUL,0,MALE,54,96763,3,0
BIRBHUM,12369362,,IMAM HOSSAIN,0,MALE,51,75546,4,0
BISHNUPUR,8656777,1077120,KHAN SAUMITRA,1,MALE,38,657019,1,1
BISHNUPUR,4642924,650000,SHYAMAL SANTRA,0,MALE,39,578972,2,0
BISHNUPUR,20299997,,KHAN SUNIL,0,MALE,72,102615,3,0
BOLANGIR,379590851,7500000,Sangeeta Kumari Singh Deo,1,FEMALE,57,498086,1,0
BOLANGIR,204895169,13342386,Kalikesh Narayan Singh Deo,0,MALE,45,478570,2,0
BOLANGIR,26771555,3673500,Samarendra Mishra,0,MALE,45,271056,3,0
BOLPUR,1310691,,ASIT KUMAR MAL,1,MALE,63,699171,1,0
BOLPUR,11501067,4905000,DAS RAMPRASAD,0,MALE,53,592769,2,0
BOLPUR,2320217,,RAM CHANDRA DOME,0,MALE,61,91964,3,1
BULANDSHAHR,18728861,,BHOLA SINGH,1,MALE,42,681321,1,1
BULANDSHAHR,47337130,8609902,YOGESH VERMA,0,MALE,50,391264,2,1
BULDHANA,116272966,735482,Jadhav Prataprao Ganpatrao,1,MALE,58,521977,1,1
BULDHANA,95350365,21940000,Dr. Rajendra Bhaskarrav Shingne,0,MALE,58,388690,2,1
BULDHANA,43855736,1730992,Siraskar Baliram Bhagwan,0,MALE,57,172627,3,1
BUXAR,40183612,1350667,Ashwini Kumar Choubey,1,MALE,66,473053,1,1
BUXAR,35871242,530000,Jagadanand Singh,0,MALE,75,355444,2,1
BUXAR,9632514,265000,Sushil Kumar Singh,0,MALE,50,80261,3,1
CHALAKUDY,20461931,915938,BENNY BEHANAN,1,MALE,66,473444,1,1
CHALAKUDY,67456404,670000,INNOCENT,0,MALE,71,341170,2,0
CHALAKUDY,21383000,5462000,A N RADHAKRISHNAN,0,MALE,59,154159,3,1
CHAMARAJANAGAR,143804441,324909,V. SRINIVAS PRASAD,1,MALE,71,568537,1,0
CHAMARAJANAGAR,92418254,2190481,R. DHRUVANARAYANA,0,MALE,58,566720,2,0
CHAMARAJANAGAR,16580750,11600000,Dr. SHIVAKUMARA,0,MALE,42,87631,3,0
CHANDAULI,33359734,,Dr. Mahendra Nath Pandey,1,MALE,62,510733,1,0
CHANDAULI,4015011,369000,Sanjay Singh Chauhan,0,MALE,43,496774,2,1
CHANDIGARH,474983574,6279188,KIRRON KHER,1,FEMALE,66,231188,1,0
CHANDIGARH,95583235,,PAWAN KUMAR BANSAL,0,MALE,70,184218,2,0
CHANDIGARH,243011000,,HARMOHAN DHAWAN,0,MALE,78,13781,3,0
CHANDNI CHOWK,30171897,,HARSH VARDHAN,1,MALE,64,519055,1,0
CHANDNI CHOWK,96159175,,JAI PRAKASH AGARWAL,0,MALE,74,290910,2,0
CHANDNI CHOWK,204351194,737055,PANKAJ KUMAR GUPTA,0,MALE,52,144551,3,0
CHANDRAPUR,137455342,22752880,Balubhau alias Suresh Narayan Dhanorkar,1,MALE,43,559507,1,1
CHANDRAPUR,18300860,45386,Ahir Hansraj Gangaram,0,MALE,64,514744,2,0
CHANDRAPUR,19703000,6978054,Adv. Rajendra Shriramji Mahadole,0,MALE,48,112079,3,1
CHATRA,226209137,1889051,SUNIL KUMAR SINGH,1,MALE,55,528077,1,0
CHATRA,44186530,249224,MANOJ KUMAR YADAV,0,MALE,62,150206,2,0
CHATRA,53288310,5208407,SUBHASH PRASAD YADAV,0,MALE,52,83425,3,1
CHENNAI CENTRAL,116790616,,DAYANIDHI MARAN,1,MALE,52,448911,1,1
CHENNAI CENTRAL,299512500,258028373,SAM PAUL. S.R.,0,MALE,41,147391,2,0
CHENNAI CENTRAL,71905468,9490525,KAMEELA NASSER,0,FEMALE,54,92249,3,0
CHENNAI CENTRAL,17606805,10680758,Dr.KARTHIKEYAN. R,0,MALE,31,30886,4,0
CHENNAI NORTH,405294714,258386550,Dr. KALANIDHI VEERASWAMY,1,MALE,49,590986,1,0
CHENNAI NORTH,45742218,2831960,ALAGAAPURAM R. MOHANRAJ,0,MALE,65,129468,2,1
CHENNAI NORTH,41590000,12497000,A. G. MOURYA,0,MALE,62,103167,3,0
CHENNAI NORTH,1157000,130000,KALIYAMMAL.P,0,FEMALE,33,60515,4,1
CHENNAI NORTH,177000,,P.SANTHANA KRISHNAN,0,MALE,44,33277,5,0
CHENNAI SOUTH,91793460,500000,T.SUMATHY (A) THAMIZHACHI THANGAPANDIAN,1,FEMALE,56,564872,1,0
CHENNAI SOUTH,32896587,9621000,Dr.J.JAYAVARDHAN,0,MALE,31,302649,2,0
CHENNAI SOUTH,22654934,689310,R.RANGARAJAN,0,MALE,40,135465,3,0
CHENNAI SOUTH,3466760,,A.J.SHERINE,0,FEMALE,26,50222,4,0
CHEVELLA,1634695131,197007553,Dr. G. Ranjith Reddy,1,MALE,54,528148,1,0
CHEVELLA,8950179170,358127700,Konda Vishweshwar Reddy,0,MALE,59,513831,2,1
CHEVELLA,1197313405,66870634,B. Janardhan Reddy,0,MALE,58,201960,3,0
CHHINDWARA,6601946757,8791712,NAKUL KAMAL NATH,1,MALE,44,587305,1,0
CHHINDWARA,9006200,236000,NATHANSAHA KAWRETI,0,MALE,57,549769,2,0
CHHINDWARA,6264000,2075000,MANMOHAN SHAH BATTI,0,MALE,56,35968,3,1
CHHOTA UDAIPUR,8634660,,RATHVA GITABEN VAJESINGBHAI,1,FEMALE,47,764445,1,0
CHHOTA UDAIPUR,34721898,3769537,RATHAVA RANJITSINH MOHANSINH,0,MALE,53,386502,2,0
CHIDAMBARAM,9244092,394248,THIRUMAAVALAVAN THOL,1,MALE,56,500229,1,1
CHIDAMBARAM,27182370,5873380,CHANDRASEKAR P,0,MALE,46,497010,2,0
CHIDAMBARAM,14672869,5800000,ELAVARASAN A,0,MALE,55,62308,3,0
CHIKKBALLAPUR,1153501141,,B.N.Bache Gowda,1,MALE,76,745912,1,0
CHIKKBALLAPUR,234515884,104316683,M.Veerappa Moily,0,MALE,79,563802,2,0
CHIKKODI,344922831,195595693,ANNASAHEB SHANKAR JOLLE,1,MALE,55,645017,1,0
CHIKKODI,192138555,3881000,PRAKASH BABANNA HUKKERI,0,MALE,72,526140,2,0
CHITRADURGA,96197642,,A NARAYANASWAMY,1,MALE,62,626195,1,0
CHITRADURGA,48222730,,B N CHANDRAPPA,0,MALE,64,546017,2,0
CHITTOOR,17355862,1341542,N. REDDEPPA,1,MALE,68,686792,1,0
CHITTOOR,69628816,,NARAMALLI SIVA PRASAD,0,MALE,67,549521,2,0
CHITTORGARH,19725115,100000,Chandra Prakash Joshi,1,MALE,43,982942,1,0
CHITTORGARH,4594912,,Gopal Singh Shekhawat,0,MALE,68,406695,2,0
CHURU,36723865,15163379,RAHUL KASWAN,1,MALE,42,792999,1,0
CHURU,582281544,464721999,RAFIQUE MANDELIA,0,MALE,58,458597,2,1
COIMBATORE,20284430,3234168,NATARAJAN. P.R,1,MALE,68,571150,1,1
COIMBATORE,671140166,23686000,RADHAKRISHNAN. C.P,0,MALE,61,392007,2,0
COIMBATORE,1333052340,115756111,MAHENDRAN. R,0,MALE,55,145104,3,0
COIMBATORE,855083,,KALYANA SUNDARAM. S,0,MALE,36,60519,4,0
COOCH BEHAR,9629810,,NISITH PRAMANIK,1,MALE,33,731594,1,1
COOCH BEHAR,41775148,4120964,ADHIKARY PARESH CHANDRA,0,MALE,66,677363,2,0
COOCH BEHAR,4644800,400000,GOBINDA CHANDRA ROY,0,MALE,61,46810,3,1
CUDDALORE,423378552,102828604,T. R. V .S. RAMESH,1,MALE,48,522160,1,0
CUDDALORE,254147934,1065600,Dr. R. GOVINDASAMY,0,MALE,69,378177,2,1
CUDDALORE,910000,,K. THANGAVEL,0,MALE,49,44892,3,0
CUDDALORE,640737,,R. CHITHRA,0,FEMALE,40,34692,4,0
CUTTACK,106894976,,BHARTRUHARI MAHTAB,1,MALE,62,524592,1,0
CUTTACK,93102541,,PRAKASH MISHRA,0,MALE,63,403391,2,0
CUTTACK,8739577,152000,PANCHANAN KANUNGO,0,MALE,67,99847,3,1
DADRA AND NAGAR HAVELI,708885980,37268162,DELKAR MOHANBHAI SANJIBHAI,1,MALE,56,90421,1,0
DADRA AND NAGAR HAVELI,496942663,215617501,PATEL NATUBHAI GOMANBHAI,0,MALE,46,81420,2,1
DADRA AND NAGAR HAVELI,5430633,,TOKIYA PRABHUBHAI,0,MALE,40,8608,3,1
DAHOD,27070480,,JASHVANTSINH SUMANBHAI BHABHOR,1,MALE,52,561760,1,0
DAHOD,48020539,2490502,KATARA BABUBHAI KHIMABHAI,0,MALE,58,434164,2,1
DAKSHINA KANNADA,14678300,4450945,NALIN KUMAR KATEEL,1,MALE,52,774285,1,1
DAKSHINA KANNADA,32963608,14804098,MITHUN M RAI,0,MALE,34,499664,2,1
DAKSHINA KANNADA,501640,,MOHAMMED ELIYAS,0,MALE,57,46839,3,1
DAMAN & DIU,213993750,9969514,LALUBHAI BABUBHAI PATEL,1,MALE,63,37597,1,0
DAMAN & DIU,173222574,43113473,KETAN DAHYABHAI PATEL,0,MALE,44,27655,2,1
DAMAN & DIU,2698150,,PATEL UMESHBHAI BABUBHAI,0,MALE,42,19938,3,1
DAMOH,43292483,4230614,PRAHALAD SINGH PATEL,1,MALE,59,704524,1,0
DAMOH,23844753,120000,PRATAP SINGH,0,MALE,57,351113,2,0
DAMOH,2188000,,"JITTU KHARE ""BADAL""",0,MALE,34,45848,3,0
DARBHANGA,19301808,1039660,Gopal Jee Thakur,1,MALE,49,586668,1,0
DARBHANGA,21127716,911152,Abdul Bari Siddiqui,0,MALE,67,318689,2,0
DARJEELING,151106062,27428941,RAJU BISTA,1,MALE,33,750067,1,0
DARJEELING,17051116,120000,AMAR SINGH RAI,0,MALE,71,336624,2,1
DARJEELING,36563205,,Sankar Malakar,0,MALE,65,65186,3,1
DARJEELING,2994408,,SAMAN PATHAK,0,MALE,46,50524,4,1
DAUSA,143742564,5825431,Jaskaur Meena,1,FEMALE,71,548733,1,0
DAUSA,111123791,1432480,Savita Meena,0,FEMALE,54,470289,2,0
DAVANAGERE,380164932,14670809,G M SIDDESHWAR,1,MALE,67,652996,1,0
DAVANAGERE,30895000,1412482,H B MANJAPPA,0,MALE,51,483294,2,0
DEORIA,29451678,9310684,RAMAPATI RAM TRIPATHI,1,MALE,69,580644,1,1
DEORIA,1240000,,BINOD KUMAR JAISWAL,0,MALE,56,330713,2,1
DEWAS,3812464,1832631,MAHENDRA SINGH SOLANKY,1,MALE,35,862429,1,0
DEWAS,12898376,810000,PRAHLAD SINGH TIPANYA,0,MALE,65,490180,2,0
DHANBAD,27286918,,PASHUPATI NATH SINGH,1,MALE,69,827234,1,0
DHANBAD,84026755,5147300,KIRTI AZAD,0,MALE,58,341040,2,1
DHAR,23198238,2471613,CHATTARSINGH DARBAR,1,MALE,65,722147,1,1
DHAR,53425064,4484036,GIRWAL DINESH,0,MALE,38,566118,2,0
DHARMAPURI,48477451,6053502,DNV SENTHILKUMAR. S.,1,MALE,41,574988,1,1
DHARMAPURI,338535112,72681681,ANBUMANI RAMADOSS,0,MALE,50,504235,2,1
DHARMAPURI,11315861,600000,PALANIAPPAN. P.,0,MALE,57,53655,3,1
DHARWAD,111384447,51736254,Pralhad Joshi,1,MALE,56,684837,1,1
DHARWAD,197860927,,Vinay Kulkarni,0,MALE,52,479765,2,0
DHAURAHRA,24735488,7095916,REKHA VERMA,1,FEMALE,45,512905,1,1
DHAURAHRA,524986176,176677024,ARSHAD ILIYAS SIDDIQUI,0,MALE,63,352294,2,1
DHAURAHRA,121801005,,KUNWAR JITIN PRASADA,0,MALE,42,162856,3,0
DHENKANAL,14529286,,MAHESH SAHOO,1,MALE,58,522884,1,1
DHENKANAL,3628704,,RUDRA NARAYAN PANY,0,MALE,59,487472,2,1
DHENKANAL,154100240,,RAJA KAMAKHYA PRASAD SINGH DEO,0,MALE,77,80349,3,0
DHUBRI,788064044,10159381,BADRUDDIN AJMAL,1,MALE,63,718764,1,1
DHUBRI,37395652,2210543,ABU TAHER BEPARI,0,MALE,52,492506,2,1
DHUBRI,12133685,1391293,ZABED ISLAM,0,MALE,50,399733,3,0
DHULE,158651112,1000000,Bhamre Subhash Ramrao,1,MALE,66,613533,1,1
DHULE,420966036,585784500,Kunalbaba Rohidas Patil,0,MALE,45,384290,2,1
DHULE,117652383,,Nabi Ahmad Ahmad Dulla,0,MALE,46,39449,3,1
DIAMOND HARBOUR,13794320,,ABHISHEK BANERJEE,1,MALE,31,791127,1,0
DIAMOND HARBOUR,4559455,935601,NILANJAN ROY,0,MALE,43,470533,2,1
DIAMOND HARBOUR,36020256,,Dr. FUAD HALIM,0,MALE,48,93941,3,0
DIBRUGARH,4370067,,RAMESWAR TELI,1,MALE,48,659583,1,0
DIBRUGARH,57488181,,PABAN SINGH GHATOWAR,0,MALE,67,295017,2,0
DINDIGUL,148076407,31474526,"VELUSAMY, P.",1,MALE,52,746523,1,0
DINDIGUL,38770497,8000000,"JOTHIMUTHU, K.",0,MALE,48,207551,2,1
DINDIGUL,1549689,,"JOTHI MURUGAN,P.",0,MALE,42,62875,3,1
DINDIGUL,58904398,25302234,"SUTHAKARAN, S. Dr.",0,MALE,52,38784,4,0
DINDORI,122885349,1449572,Dr. Bharati Pravin Pawar,1,FEMALE,40,567470,1,0
DINDORI,11989452,12518538,Dhanraj Haribhau Mahale,0,MALE,44,368691,2,1
DINDORI,22228892,683365,Gavit Jeeva Pandu,0,MALE,70,109570,3,1
DINDORI,3360369,220000,Bapu Kelu Barde,0,MALE,53,58847,4,0
DOMARIYAGANJ,103366710,2838478,JAGDAMBIKA PAL,1,MALE,68,492253,1,1
DOMARIYAGANJ,63242772,19391778,AFTAB ALAM,0,MALE,37,386932,2,1
DOMARIYAGANJ,64076173,24438446,CHANDRASH ALIAS CHANDRESH KUMAR UPADHYAY,0,MALE,37,60549,3,0
DUM DUM,42518790,,SOUGATA RAY,1,MALE,71,512062,1,1
DUM DUM,706493,,SAMIK BHATTACHARYA,0,MALE,53,459060,2,1
DUM DUM,7743732,,NEPALDEB BHATTACHARYA,0,MALE,67,167590,3,1
DUMKA,4737559,685516,SUNIL SOREN,1,MALE,39,484923,1,0
DUMKA,72593962,14999229,SHIBU SOREN,0,MALE,72,437333,2,0
DURG,34429027,8748686,VIJAY BAGHEL,1,MALE,59,849374,1,0
DURG,54656426,878370,PRATIMA CHANDRAKAR,0,FEMALE,61,457396,2,0
EAST DELHI,1471587789,342035860,GAUTAM GAMBHIR,1,MALE,37,696156,1,1
EAST DELHI,50452066,,ARVINDER SINGH LOVELY,0,MALE,50,304934,2,0
EAST DELHI,12012824,,ATISHI,0,FEMALE,37,219328,3,1
ELURU,462808829,33560974,KOTAGIRI SRIDHAR,1,MALE,46,676809,1,0
ELURU,199762023,33303902,MAGANTTI VENKATESWARA RAO BABU,0,MALE,59,510884,2,1
ERNAKULAM,7908467,200000,HIBI EDEN,1,MALE,35,491263,1,1
ERNAKULAM,48174090,1629133,P RAJEEV,0,MALE,51,322110,2,1
ERNAKULAM,115836275,,ALPHONS KANNANTHANAM,0,MALE,65,137749,3,1
ERODE,43110000,2060000,GANESHAMURTHI A,1,MALE,72,563591,1,0
ERODE,77573699,29371716,MANIMARAN G,0,MALE,52,352973,2,0
ERODE,11919500,3257200,SARAVANAKUMAR A,0,MALE,43,47719,3,0
