STATE,CONSTITUENCY,TOTAL VOTERS,VOTING PCT,TOTAL VOTES POLLED
UTTAR PRADESH,HATHRAS,1864320,0.617630557,1151460
UTTAR PRADESH,JALAUN,1933358,0.584861159,1130746
UTTAR PRADESH,JAUNPUR,1867976,0.557733611,1041832
UTTAR PRADESH,JHANSI,2040739,0.676779343,1381130
UTTAR PRADESH,KAIRANA,1666703,0.674513096,1124212
UTTAR PRADESH,KAISERGANJ,1805946,0.543938191,982322
UTTAR PRADESH,KANNAUJ,1874824,0.608582459,1140985
UTTAR PRADESH,KANPUR,1632983,0.516489761,843419
UTTAR PRADESH,KAUSHAMBI,1787120,0.545591231,975036
UTTAR PRADESH,KHERI,1770699,0.641990536,1136771
UTTAR PRADESH,KUSHI NAGAR,1761564,0.597939672,1053309
UTTAR PRADESH,LALGANJ,1751980,0.548558774,961064
UTTAR PRADESH,LUCKNOW,2040367,0.5477593,1117630
UTTAR PRADESH,MACHHLISHAHR,1848306,0.560194037,1035409
UTTAR PRADESH,MAHARAJGANJ (UP),1915408,0.640711535,1227224
UTTAR PRADESH,MAINPURI,1723236,0.567688349,978260
UTTAR PRADESH,MATHURA,1807893,0.610835376,1104325
UTTAR PRADESH,MEERUT,1892931,0.642886613,1216939
UTTAR PRADESH,MIRZAPUR,1845150,0.601067122,1109059
UTTAR PRADESH,MISRIKH,1796932,0.571742281,1027381
UTTAR PRADESH,MOHANLALGANJ,2023431,0.627933446,1270580
UTTAR PRADESH,MORADABAD,1958939,0.654571174,1282265
UTTAR PRADESH,MUZAFFARNAGAR,1698003,0.684200205,1161773
UTTAR PRADESH,NAGINA,1586117,0.636639668,1009784
UTTAR PRADESH,PHULPUR,2010477,0.486987417,979077
UTTAR PRADESH,PILIBHIT,1761207,0.674097366,1187225
UTTAR PRADESH,PRATAPGARH,1708759,0.535627903,915258
UTTAR PRADESH,RAE BARELI,1702248,0.563385594,959021
UTTAR PRADESH,RAMPUR,1679506,0.631875087,1061238
UTTAR PRADESH,ROBERTSGANJ,1723538,0.573705947,988803
UTTAR PRADESH,SAHARANPUR,1739082,0.708671586,1232437
UTTAR PRADESH,SALEMPUR,1667282,0.554255969,924101
UTTAR PRADESH,SAMBHAL,1828764,0.647315892,1183788
UTTAR PRADESH,SANT KABIR NAGAR,1962903,0.542016085,1063924
UTTAR PRADESH,SHAHJAHANPUR,2114201,0.561504322,1187132
UTTAR PRADESH,SHRAWASTI,1914739,0.520770194,997139
UTTAR PRADESH,SITAPUR,1666126,0.639340602,1065221
UTTAR PRADESH,SULTANPUR,1775196,0.563748454,1000764
UTTAR PRADESH,UNNAO,2191465,0.564714015,1237550
UTTAR PRADESH,VARANASI,1856791,0.571323859,1060828
UTTARAKHAND,ALMORA,1337808,0.523099727,699807
UTTARAKHAND,GARHWAL,1355796,0.551721645,748022
UTTARAKHAND,HARDWAR,1840738,0.691783948,1273392
UTTARAKHAND,NAINITAL-UDHAMSINGH NAGAR,1828433,0.689667054,1261010
UTTARAKHAND,TEHRI GARHWAL,1493543,0.588655968,879182
WEST BENGAL,ALIPURDUARS,1648383,0.837897503,1381176
WEST BENGAL,ARAMBAGH,1764726,0.834385621,1472461
WEST BENGAL,ASANSOL,1615865,0.766246561,1238150
WEST BENGAL,BAHARAMPUR,1638378,0.794098187,1301033
WEST BENGAL,BALURGHAT,1431704,0.836930679,1198237
WEST BENGAL,BANGAON,1704632,0.826367803,1408653
WEST BENGAL,BANKURA,1648906,0.832458005,1372644
WEST BENGAL,BARASAT,1718252,0.812566492,1396193
WEST BENGAL,BARDHAMAN DURGAPUR,1733578,0.826723113,1433189
WEST BENGAL,BARDHAMAN PURBA,1698089,0.847778297,1439603
WEST BENGAL,BARRACKPORE,1436431,0.769058173,1104698
WEST BENGAL,BASIRHAT,1678357,0.854269384,1433769
WEST BENGAL,BIRBHUM,1699219,0.853396766,1450107
WEST BENGAL,BISHNUPUR,1627199,0.873397169,1421191
WEST BENGAL,BOLPUR,1705073,0.857399654,1461929
WEST BENGAL,COOCH BEHAR,1814200,0.840836732,1525445
WEST BENGAL,DARJEELING,1611317,0.787967855,1269665
WEST BENGAL,DIAMOND HARBOUR,1719190,0.81978897,1409372
WEST BENGAL,DUM DUM,1566196,0.769185338,1204694
WEST BENGAL,GHATAL,1800002,0.827409081,1489338
WEST BENGAL,HOOGHLY,1766601,0.825672577,1458633
WEST BENGAL,HOWRAH,1633925,0.748325657,1222707
WEST BENGAL,JADAVPUR,1816857,0.791082072,1437282
WEST BENGAL,JALPAIGURI,1735464,0.865116764,1501379
WEST BENGAL,JANGIPUR,1616213,0.807213529,1304629
WEST BENGAL,JAYNAGAR,1648355,0.8228725,1356386
WEST BENGAL,JHARGRAM,1641868,0.857091435,1407230
WEST BENGAL,KANTHI,1660147,0.858337244,1424966
WEST BENGAL,KOLKATA DAKSHIN,1728851,0.698195507,1207075
WEST BENGAL,KOLKATA UTTAR,1444082,0.658299875,950639
WEST BENGAL,KRISHNANAGAR,1631698,0.837533048,1366601
WEST BENGAL,MALDAHA DAKSHIN,1575590,0.81237949,1279977
WEST BENGAL,MALDAHA UTTAR,1685955,0.803916475,1355367
WEST BENGAL,MATHURAPUR,1652096,0.848630467,1402019
WEST BENGAL,MEDINIPUR,1674236,0.842366906,1410320
WEST BENGAL,MURSHIDABAD,1725187,0.842918478,1454192
WEST BENGAL,PURULIA,1645884,0.823788918,1355860
WEST BENGAL,RAIGANJ,1601220,0.798188881,1278076
WEST BENGAL,RANAGHAT,1762252,0.84255657,1484797
WEST BENGAL,SRERAMPUR,1785472,0.785371599,1402259
WEST BENGAL,TAMLUK,1694646,0.853830239,1446939
WEST BENGAL,ULUBERIA,1614988,0.811845042,1311120
